* 통계표명 :,지가변동률_연도별,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,1975년 ~ 2021년,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,1975년 ~ 2021년,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2022.10.31 04:05:16,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,송파구,,0.11,1.54,21.99,6.98,3.54,7.615,9.216,5.674,-1.893,1.838,0.58,1.162,0.453,3.009,3.644,3.045,3.195,4.601,5.943,5.334,5.404,5.692
,강동구,,-0.62,1.47,13.8,6.38,3.22,5.652,8.994,5.078,-1.899,1.678,0.563,0.827,0.338,1.59,2.194,2.778,3.127,4.116,5.694,5.698,4.653,5.09
부산,,,-0.53,0.49,3.28,1.09,0.89,1.862,2.496,2.164,-0.174,0.107,1.216,1.579,1.731,1.568,2.278,3.094,4.174,6.507,5.739,3.761,3.75,4.042
,중구,,-0.6,0.07,2.75,0.74,0.22,0.251,0.088,-0.134,-2.068,0.018,1.053,1.151,1.007,1.577,1.934,2.964,3.55,4.505,4.573,3.825,1.774,2.009
,서구,,0.61,-0.07,2.09,0.75,0.28,0.638,0.705,0.13,-0.717,0.018,0.962,1.164,1.492,1.114,2.175,2.66,3.357,5.74,5.153,3.219,2.739,3.464
,동구,,-1.73,0.19,2.29,0.79,0.53,0.149,0.4,0.078,-1.647,-0.705,0.433,1.138,0.647,1.435,2.182,2.473,2.943,5.365,5.355,3.095,3.016,3.172
,영도구,,-0.76,0.18,1.05,0.63,0.17,0.354,1.195,1.645,-1.481,0.287,1.048,1.227,1.423,1.25,1.818,2.292,2.416,4.885,3.694,3.134,2.778,2.8
,부산진구,,-0.82,0.74,2.25,0.68,0.6,1.66,2.741,0.913,-1.437,-0.041,0.942,1.577,1.386,1.828,2.621,3.605,4.48,5.906,5.404,3.659,5.242,5.342
,동래구,,-0.92,0.5,1.82,0.61,0.36,0.615,2.291,2.558,-0.749,-0.049,1.08,1.477,1.972,1.624,2.485,3.55,4.637,6.932,6.754,5.134,5.032,4.052
,남구,,-1.02,0.5,1.78,0.68,0.39,0.836,1.282,0.958,-1.026,-0.168,0.86,1.149,1.9,1.975,2.941,3.465,4.87,6.85,6.065,4.175,4.563,4.78
,북구,,-1.09,0.38,2.65,1.49,0.44,0.603,1.224,1.186,-1.026,-0.143,1.001,1.398,1.368,1.274,1.852,2.348,3.304,4.78,4.652,3.382,2.344,3.132
,해운대구,,-0.88,0.51,3.86,0.88,0.44,2.193,1.977,1.054,-0.028,0.179,1.082,1.505,2.125,1.477,2.356,3.821,7.415,9.054,7.948,5.602,5.795,6.196
,사하구,,-1.53,0.13,3.19,0.89,0.35,1.14,2.178,2.861,-0.138,0.003,1.117,1.597,1.418,0.857,1.706,2.162,2.687,4.408,3.744,2.712,2.639,2.848
,금정구,,1.35,0.08,1.99,1.35,0.82,2.226,3.082,2.129,-0.525,0.029,1.096,1.67,1.747,1.77,2.111,2.713,3.888,6.723,5.995,4.016,3.474,3.48
,강서구,,1.74,0.29,8.13,3,5.22,7.481,5.044,5.202,3.672,0.989,1.979,2.19,2.465,1.862,2.142,3.573,3.596,6.813,5.14,2.909,2.756,2.898
,연제구,,-0.35,1.29,3.17,0.78,0.38,1.209,1.921,2.523,-0.964,-0.098,1.083,1.351,1.517,1.292,1.941,2.894,4.631,6.902,6.093,4.061,4.601,4.568
,수영구,,-1.51,1.28,6.12,0.87,0.47,1.591,2.079,2.039,-1.145,-0.097,1.017,1.471,1.687,1.666,2.512,3.376,4.553,7.756,6.539,4.184,5.042,6.031
,사상구,,-0.96,0.11,3.22,0.82,0.39,1.011,4.552,4.253,-0.425,-0.434,1.479,1.726,1.317,0.957,2.031,2.182,3.06,5.273,4.625,3.198,2.79,3.106
,기장군,,4.27,2.2,12.75,4.85,5.14,6.04,5.919,4.704,2.323,1.004,2.136,1.961,2.302,2.183,2.86,2.986,3.836,7.004,6.846,2.961,2.282,3.649
(구)부산직할시,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)중구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)서구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)동구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)영도구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)부산진구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)동래구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)남구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)북구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)해운대구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
