* 통계표명 :,지가변동률_연도별,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,1975년 ~ 2021년,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,1975년 ~ 2021년,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2022.10.31 04:05:16,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,,오정구,1.29,2.15,17.11,3.83,3.01,3.302,4.361,4.186,-0.526,1.538,1.476,1.177,0.929,1.249,1.381,1.901,-,-,-,-,-,-
,광명시,,1.95,1.88,12.19,4.74,8.41,4.536,4.974,2.926,-1.049,1.202,2.182,1.397,1.244,1.103,1.141,2.107,2.263,3.562,4.959,5.447,5.718,5.608
,평택시,,1.91,1,11.41,6.23,11.54,12.55,8.932,4.982,2.667,1.257,2.08,1.796,1.552,0.938,1.298,2.92,4.223,7.547,5.695,5.034,3.805,3.566
,송탄시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,동두천시,,0.94,-0.03,7.64,1.93,4.44,2.492,2.772,3.066,-0.246,0.602,0.783,0.878,0.507,0.055,0.273,0.848,1.262,1.66,2.376,2.635,2.324,2.771
,안산시,,0.7,0.52,19.81,4.61,3.17,2.87,3.355,4.188,-0.325,2.018,1.256,1.252,0.367,1.074,1.529,1.68,2.314,3.08,2.673,3.696,3.673,3.857
,,상록구,-,-,-,4.6,3.27,2.828,3.436,3.012,-0.306,1.131,1.301,1.236,0.324,0.87,1.312,1.27,2.297,3.038,2.782,3.712,3.694,3.706
,,단원구,-,-,-,4.61,3.12,2.894,3.309,4.876,-0.337,2.549,1.23,1.26,0.395,1.194,1.653,1.909,2.328,3.12,2.622,3.687,3.65,3.929
,고양시,,1.77,1.89,19.36,4.49,7.25,3.817,3.901,4.033,0.153,1.454,0.828,0.966,0.318,0.332,0.957,1.679,2.253,3.619,5.219,4.167,3.746,4.01
,,덕양구,2.01,0.54,20.68,6.1,7.7,3.783,4.357,4.401,0.534,2.025,1.143,0.943,0.281,0.1,0.387,1.189,1.862,3.883,5.638,5.142,5.098,5.101
,,일산구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,일산동구,1.6,2.84,18.44,3.41,6.95,3.497,3.49,2.812,-0.06,0.767,0.509,0.916,0.395,0.724,0.842,2.832,2.685,3.195,4.802,3.532,2.829,3.224
,,일산서구,1.6,2.84,18.44,3.41,6.95,4.305,3.766,4.966,-0.193,1.387,0.709,1.059,0.285,0.251,1.986,1.14,2.398,3.652,5.026,3.273,2.546,3.054
,과천시,,1.24,1.41,16.38,4.07,5.29,5.682,8.063,2.517,-2.644,2.266,0.449,0.62,0.279,0.826,2.095,1.932,1.912,3.275,5.581,6.316,6.214,6.106
,구리시,,1.19,1.34,13.44,3.38,4.31,2.864,6.981,5.6,0.027,1.436,1.309,1.042,1.171,0.651,1.457,2.741,2.359,3.257,5.734,4.149,4.442,4.498
,(구)평택시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,미금시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,남양주시,,2.24,3.06,14.24,5.76,5.98,5.633,5.086,4.115,1.932,1.606,1.478,1.228,1.409,0.766,1.739,3.134,3.18,3.963,3.757,5.431,5.323,5.472
,오산시,,0.32,2.45,20.02,5.91,8.87,4.766,5.095,4.216,-1.246,0.551,1.38,1.529,1.063,1.093,1.624,1.547,1.792,2.711,2.877,3.144,3.309,3.945
,시흥시,,1.2,0.54,13.88,4.09,4.52,4.313,4.901,3.748,-0.353,0.934,2.996,3.533,1.666,1.188,1.437,1.321,2.325,3.345,3.464,3.974,3.904,6.993
,군포시,,1.69,1.29,11.34,2.23,4.04,4.052,5.409,3.426,-0.101,1.172,2.181,1.118,0.17,0.936,1.214,1.665,2.522,3.349,3.199,3.729,3.749,4.303
,의왕시,,1.72,1.37,11.34,2.51,6.29,6.053,8.277,3.437,-1.094,1.239,1.207,1.271,1.141,0.991,2.002,2.481,3.168,4.173,4.145,4.178,4.339,4.801
,하남시,,1.65,1.01,15.92,8.88,4,6.547,6.904,5.225,-1.066,3.723,4.761,5.645,3.414,3.778,4.001,3.555,3.161,3.885,5.263,6.904,6.574,6.846
,용인시,,4.28,3.94,12.16,3.53,5.71,7.738,4.332,4.446,-1.394,1.095,1.415,1.311,0.972,1.158,1.069,1.512,1.846,2.238,3.527,5.253,4.067,4.25
,,처인구,-,-,-,-,-,7.363,5.592,5.264,0.732,1.035,1.703,1.659,1.029,1.15,1.049,1.381,1.828,2.363,2.955,6.203,3.71,3.593
,,기흥구,-,-,-,-,-,6.963,3.043,4.149,-1.974,1.1,1.25,1.145,0.992,1.458,0.829,1.48,1.915,2.3,3.72,4.921,4.353,4.693
,,수지구,-,-,-,-,-,9.543,4.346,3.637,-3.256,1.158,1.279,1.12,0.869,0.724,1.455,1.729,1.765,1.974,4.023,4.48,4.151,4.525
,파주시,,4.37,2.84,15.36,4.3,13.29,5.757,4.259,4.984,-0.184,0.915,0.89,0.91,1.076,0.014,1.252,0.863,1.167,2.807,9.533,2.861,2.491,2.93
,이천시,,3.27,2.32,7.39,3.51,8.48,6.4,3.648,3.756,-0.98,1.073,1.459,1.507,1.1,1.14,1.687,1.969,2.388,2.757,3.138,3.677,3.717,3.551
,안성시,,1.76,0.62,5.77,2.06,6.65,8.344,5.382,4.626,-1.093,0.645,1.742,2.008,0.986,0.83,1.414,2.254,2.256,3.252,2.895,3.067,2.851,3.301
,김포시,,2.88,1.29,7.31,8.67,7.06,8.288,3.341,3.047,1.57,1.323,1.68,1.005,1.392,0.265,0.352,1.352,1.418,3.377,5.142,4.154,3.158,3.577
,화성시,,2.14,3.44,14.4,6.89,5.23,9.138,6.676,5.564,2.198,1.223,2.389,2.48,2.116,1.35,1.296,1.861,2.371,4.092,3.992,3.875,3.665,3.638
,광주시,,2.18,2.97,12.64,3.67,9.4,6.17,5.626,4.904,-0.723,0.643,1.517,1.623,1.142,1.126,1.222,1.377,2.175,3.377,4.345,3.921,4.124,4.449
,양주시,,2.11,2.18,10.78,3.76,6.86,5.141,6.174,5.845,0.587,0.631,0.681,0.989,0.583,0.248,0.536,1.04,1.71,2.025,3.121,3.194,3.743,3.535
,포천시,,3.74,3.12,14.5,4.24,6.13,4.917,3.949,5.07,-0.173,0.982,0.794,1.012,0.61,0.091,0.4,0.894,1.607,2.171,2.798,2.99,3.516,3.067
,여주시,,-,-,-,-,-,-,-,-,-,-,-,-,-,1.186,1.908,1.77,2.248,3.231,3.489,2.954,2.811,3.284
,양주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,남양주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,여주군,,3.04,1.89,5,2.9,11.83,6.905,3.624,3.757,-0.179,1.299,1.815,2.026,1.194,-,-,-,-,-,-,-,-,-
,평택군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,화성군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,시흥군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,파주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,고양군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,광주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,연천군,,4.27,1.44,3.74,0.92,7.94,3.803,3.225,3.822,-0.276,0.675,0.778,0.851,0.602,0.199,0.271,0.725,1.106,1.501,6.144,2.698,1.822,2.288
,포천군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,가평군,,0.73,1.38,8.3,3.45,6.26,3.591,3.085,2.688,-0.414,1.079,1.102,0.882,0.602,0.316,0.756,0.836,1.41,2.303,2.922,2.856,2.579,2.634
,양평군,,0.73,2.8,7.76,1.76,5.04,4.073,5.138,2.693,-0.653,1.427,1.639,0.899,1.018,0.705,0.837,1.108,1.815,3.579,3.41,3.151,3.374,3.321
,이천군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,용인군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,안성군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,김포군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,강화군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,옹진군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
강원,,,1.39,2.29,1.88,1.79,2.27,2.632,2.521,1.665,0.378,0.342,0.843,1.415,1.791,1.292,1.764,2.642,2.924,3.818,3.578,2.655,2.155,3.03
,시지역,,-,-,-,-,-,-,-,-,-,-,-,-,2.031,1.438,2.06,2.938,3.262,3.956,3.501,2.779,2.416,3.481
,군지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.411,1.064,1.3,2.185,2.4,3.604,3.698,2.464,1.742,2.328
,춘천시,,2.27,10.03,1.07,2.13,1.4,2.874,2.561,2.067,-0.087,1.022,1.689,1.554,2.478,1.693,2,3.031,3.296,3.492,3.23,2.862,2.418,3.299
,원주시,,0.81,0.18,1.69,2.85,4.37,4.078,5.862,2.657,2.15,0.271,0.901,1.806,2.384,1.776,2.979,3.265,3.979,4.419,3.946,2.851,2.258,3.295
,강릉시,,1.15,0.24,1.79,1.54,0.98,2.048,0.934,0.42,-0.172,-0.034,0.298,1.739,2.299,1.514,1.739,2.787,2.626,4.07,3.292,2.857,2.885,4.252
,동해시,,1.3,-0.18,0.29,2.21,2.06,0.494,1.103,0.891,-0.048,-0.192,0.049,0.08,0.443,0.291,1.114,2.216,2.164,3.195,2.906,2.399,2.252,2.205
,태백시,,2.93,4.28,3.95,0.68,1.28,1.048,1.025,0.57,-0.005,-0.306,0.097,0.045,0.205,-0.183,0.191,1.502,1.6,1.952,1.86,1.652,1.307,1.528
,속초시,,0.15,0.06,1.56,1.4,2.83,0.678,0.452,0.622,-0.011,0.173,0.319,0.631,0.817,0.343,0.261,2.763,3.451,5.81,4.953,3.033,3.05,5.983
,삼척시,,0.45,0.19,0.97,1.22,1.01,0.64,1.286,1.396,-0.769,0.233,0.578,0.448,1.001,0.837,1.287,2.347,1.869,2.53,2.293,2.076,1.778,2.022
,춘성군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,춘천군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,홍천군,,1.24,1.95,5.1,1.22,2.56,4.293,2.361,2.133,1.036,0.77,1.428,1.777,1.544,1.21,1.29,2.314,2.716,3.267,2.819,2.389,1.754,2.182
,횡성군,,1.71,1.08,4.95,1.16,0.93,4.245,3.168,1.833,-0.055,0.576,0.799,1.622,1.989,1.337,1.182,2.462,2.568,3.508,2.864,2.391,1.68,2.044
,원성군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,원주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,영월군,,1.13,2.65,1.79,0.65,1,2.293,2.696,2.138,-0.18,0.277,0.413,1.043,1.271,1.193,1.983,1.806,1.63,2.946,2.581,2.542,1.663,1.89
,평창군,,0.04,0.48,1.9,2.07,4.42,2.877,2.827,1.5,-0.345,0.22,1.262,2.873,2.558,1.914,2.223,2.155,2.201,3.928,3.157,2.477,2.196,2.577
,정선군,,4.59,4.29,4.66,1.51,1.28,2.635,2.984,2.086,-0.037,0.247,1.182,2.161,1.035,0.988,1.687,2.249,2.303,2.516,2.629,2.052,1.212,1.318
,철원군,,3.69,-0.05,0.62,0.21,2.93,3.616,1.217,1.913,-0.196,0.102,0.152,0.243,0.661,0.166,0.565,2.18,2.064,2.897,6.651,2.572,1.191,1.545
,화천군,,1.55,1.08,0.89,0.85,0.1,2.392,0.874,0.385,-0.074,0.093,0.15,0.282,0.63,0.233,0.634,2.01,2.163,3.247,2.801,2.12,1.366,1.618
,양구군,,1.26,2.29,3.43,2.11,1.14,2.896,2.428,2.148,-0.257,0.143,0.387,0.347,0.624,0.39,0.509,2.017,2.228,3.224,2.858,2.329,1.386,1.633
,인제군,,1.18,0.5,1.74,1.02,1.23,1.958,1.51,1.87,0.576,0.114,0.868,1.046,0.929,0.683,0.658,2.239,2.579,3.698,2.888,2.187,1.5,1.721
,고성군,,1.62,1.38,3.39,1.78,2.54,2.397,2.16,1.749,-0.119,0.105,0.348,0.558,0.93,1.108,1.286,1.455,2.161,5.038,8.058,2.924,2.388,4.175
,양양군,,1.67,1.13,0.96,1.56,3.06,0.647,1.686,0.77,-0.006,0.012,0.253,0.503,0.772,0.515,0.653,2.52,3.367,5.71,3.943,3.002,3.101,5.043
,명주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,삼척군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
충북,,,1.12,0.41,3.02,2.54,3.83,4.981,4.37,1.265,-0.364,0.11,0.653,0.585,1.086,1.018,1.694,1.902,1.919,3.079,3.156,2.221,2.273,3.26
,시지역,,-,-,-,-,-,-,-,-,-,-,-,-,0.941,0.916,1.782,1.863,1.842,3.034,3.311,2.327,2.398,3.455
,군지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.223,1.113,1.696,1.974,2.073,3.165,2.861,2.016,2.033,2.892
,청주시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.69,1.906,1.92,2.954,3.629,2.558,2.704,3.709
,,상당구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.987,1.813,1.502,2.929,3.276,2.067,2.287,3.015
,,서원구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.245,1.462,1.843,2.627,3.259,2.1,2.289,3.115
,,흥덕구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.72,2.172,1.928,3.238,3.987,2.936,3.115,4.334
,,청원구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.799,1.945,2.285,2.831,3.695,2.801,2.821,3.905
,(구)청주시,,1.31,0.73,5.2,4.03,5.01,3.571,1.778,0.734,-0.452,0.079,0.699,0.394,0.975,0.932,0.435,-,-,-,-,-,-,-
,,(구)상당구,1.01,0.8,6.24,2.81,4.05,2.369,1.744,0.654,-0.491,0.078,0.796,0.41,0.91,0.778,0.383,-,-,-,-,-,-,-
,,(구)흥덕구,1.55,0.68,4.41,5.03,5.78,4.437,1.804,0.785,-0.429,0.081,0.641,0.384,1.014,1.027,0.466,-,-,-,-,-,-,-
,충주시,,0.43,-0.13,0.66,1.18,2.2,6.257,2.46,1.091,-0.537,0.195,0.802,0.722,1.042,0.937,2.194,1.739,1.521,3.133,2.704,1.888,1.797,2.987
,제천시,,1.07,-0.63,0.18,0.78,1.36,1.955,3.257,0.86,-0.849,-0.92,0.166,0.357,0.604,0.805,1.496,1.807,1.942,3.404,2.264,1.553,1.415,2.563
,(구)청원군,,1.98,0.84,9.13,6.45,7.98,9.884,7.344,1.286,-0.041,0.066,0.25,0.347,1.318,1.333,1.004,-,-,-,-,-,-,-
,보은군,,0.96,0.04,-0.7,-0.15,0.78,1.858,2.652,1.272,-0.09,0.076,0.511,0.09,0.369,0.62,1.179,1.968,1.837,2.41,2.604,1.534,1.426,1.747
,옥천군,,0.52,0.45,0.33,0.12,1.27,1.577,1.783,1.479,-0.481,0.006,0.721,0.493,0.595,0.894,2.187,2.067,1.75,2.523,2.618,1.887,1.881,1.974
,영동군,,1.01,0.09,-0.26,0.03,0.38,2.716,2.382,1.378,-0.156,0.159,0.608,0.849,0.559,0.697,1.217,1.621,1.284,2.086,2.397,1.756,1.652,1.945
,증평군,,-,-,-,0.1,3.22,3.063,2.143,1.29,-0.171,0.252,0.464,0.274,0.684,0.904,1.573,1.419,1.396,2.669,2.768,1.87,1.791,2.97
,진천군,,0.03,0.39,-0.02,0.81,4.05,6.309,12.338,3.577,-0.114,0.458,1.304,0.777,1.614,1.157,1.99,1.81,1.9,3.43,3.265,2.409,2.812,4.13
,괴산군,,2.5,0.56,-0.07,1.25,0.62,2.224,2.175,1.368,-0.048,0.242,0.779,0.683,0.656,0.459,1.092,2.075,1.868,2.606,2.224,1.598,1.547,2.456
,음성군,,0.86,0.49,0.08,0.56,3.22,6.23,12.12,2.011,-0.506,0.571,1.164,1.647,1.721,1.298,2.346,2.231,2.685,3.776,3.021,2.177,2.109,2.964
,중원군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,제원군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,제천군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,단양군,,0.11,0.31,0.38,0.58,0.34,2.694,2.128,1.267,-0.527,0.149,0.458,0.91,0.749,0.601,1.541,1.896,2.312,3.823,3.078,1.742,1.313,2.45
충남,,,1.18,0.36,2.48,4.81,11.65,8.322,5.546,2.025,-0.117,0.257,1.161,0.762,0.88,0.777,1.386,1.512,1.898,2.983,2.276,1.632,2.08,2.81
,시지역,,-,-,-,-,-,-,-,-,-,-,-,-,0.92,0.799,1.476,1.593,1.976,3.21,2.383,1.643,2.197,2.999
,군지역,,-,-,-,-,-,-,-,-,-,-,-,-,0.8,0.7,1.056,1.236,1.632,2.208,1.909,1.589,1.683,2.162
,대전시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,대전시동구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,중구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,서구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,천안시,,0.06,0.2,4.9,8.28,17.82,7.281,2.864,2.234,-0.063,-0.055,0.795,0.592,0.535,0.462,1.29,1.51,1.875,3.309,2.562,1.817,2.636,3.601
,,동남구,-,-,-,-,-,-,-,-,-0.328,-0.178,0.833,0.75,0.525,0.363,0.91,1.749,1.789,2.623,2.064,1.513,2.151,3.679
,,서북구,-,-,-,-,-,-,-,-,0.171,0.055,0.766,0.469,0.543,0.537,1.573,1.325,1.937,3.847,2.945,2.055,3.005,3.545
,공주시,,0.95,-0.07,2.05,6.6,9.15,17.725,9.523,1.125,-1.584,-0.442,0.729,0.89,2.155,0.794,1.573,2.439,2.92,2.341,2.321,1.873,2.353,3.862
,대천시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,보령시,,1.77,1.19,4.04,2.41,6.37,6.13,5.466,1.328,-1.673,0.2,1.57,0.487,0.673,0.509,1.509,1.198,1.578,2.319,2.02,1.476,1.758,2.386
,온양시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,아산시,,1.22,0.27,4.76,8.73,17.6,9.809,5.698,2.088,0.174,0.812,1.573,0.892,0.617,0.663,1.397,1.345,2.206,3.664,2.388,2.186,2.923,3.571
,서산시,,1.28,0.11,0.96,2.39,8.92,4.275,3.968,1.897,-0.177,0.817,0.96,0.664,1.406,1.167,1.457,1.832,1.795,3.528,2.753,1.819,2.127,2.628
,논산시,,1.5,0.68,0.74,4.65,4.09,7.55,1.36,0.338,-1.066,-1.003,0.929,1.112,1.35,0.778,1.003,1.492,1.997,2.711,2.498,1.749,2.019,2.594
,계룡시,,-,-,-,2.09,7.37,7.574,3.21,0.08,-2.372,-0.343,-0.166,0.202,0.292,0.247,0.934,0.999,1.969,2.329,2.091,1.694,2.248,2.714
,당진시,,-,-,-,-,-,-,-,-,-,-,-,0.091,1.11,1.507,2.072,1.687,1.702,3.207,1.992,0.599,0.831,1.537
,금산군,,2.37,0.91,0.36,1.75,5.48,7.599,3.222,0.642,-1.508,-1.536,0.731,1,0.701,0.65,0.995,1.33,1.401,1.938,2.248,1.516,1.538,2.309
,대덕군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,연기군,,0.58,-0.13,2.42,11.59,23.33,27.711,10.384,0.872,-3.764,-1.292,0.68,1.079,-,-,-,-,-,-,-,-,-,-
,공주군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,논산군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,부여군,,1.6,0.39,0.4,0.79,4.34,3.758,2.062,1.031,-0.813,0.286,0.462,0.565,0.826,0.48,1.002,1.353,1.748,1.949,2.016,1.904,1.66,2.382
,서천군,,2.34,-0.09,0.23,0.42,1.6,5.291,1.356,1.533,-0.763,0.051,0.401,0.419,0.599,0.696,0.944,1.167,1.533,1.886,0.668,0.827,1.12,1.488
,보령군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,청양군,,0.48,-0.1,0.14,0.77,8.84,5.943,7.271,2.383,-1.223,0.25,0.57,0.81,0.864,0.478,0.556,1.212,1.697,1.895,1.587,1.229,1.463,1.815
,홍성군,,1.81,0.21,1.09,1.71,9.72,4.319,16.847,3.769,1.508,0.247,1.556,0.938,1.165,1.004,1.309,1.536,1.553,2.178,1.656,1.543,1.967,2.474
,예산군,,0.97,-0.04,0.22,0.72,9.68,3.614,17.062,3.536,0.602,0.371,1.001,0.669,0.971,0.737,1.078,1.403,1.733,2.128,2.101,1.751,1.726,2.039
,서산군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,태안군,,1.43,0.04,3.42,1.54,8.11,5.863,5.345,3.336,-1.828,-0.225,1.498,0.888,0.882,0.627,1.082,0.705,1.681,2.866,2.366,1.734,1.745,2.177
,당진군,,2.11,1.21,1.34,2.29,11.04,5.879,4.875,3.335,5.628,2.578,2.661,0.751,-,-,-,-,-,-,-,-,-,-
,아산군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,천원군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,천안군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
전북,,,1.13,-0.13,0.64,0.96,0.7,1.379,1.291,1.211,2.583,-0.529,0.658,0.769,1.433,1.041,1.584,2.307,2.151,3.326,2.717,2.597,2.368,2.571
,시지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.477,1.063,1.6,2.378,2.091,3.099,2.391,2.416,2.23,2.494
,군지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.28,0.966,1.535,2.079,2.337,4.021,3.704,3.14,2.772,2.792
,전주시,,0.38,-0.05,1.32,2.3,1.22,1.768,1.82,1.975,-0.019,0.011,0.671,0.965,1.637,1.261,1.856,3.276,2.81,3.929,3.967,3.062,2.759,2.878
,,완산구,0.24,-0.33,1.14,2.61,0.66,1.999,1.693,2.016,-0.023,0.021,0.854,1.339,1.917,1.26,1.889,3.824,2.955,3.544,3.739,2.996,2.789,2.884
,,덕진구,0.53,0.22,1.49,1.99,1.77,1.521,1.955,1.934,-0.014,-0.002,0.46,0.518,1.301,1.261,1.816,2.628,2.64,4.368,4.14,3.126,2.735,2.891
,군산시,,0.45,-0.31,-0.11,-0.03,0.35,0.424,0.6,1.376,15.211,-2.663,1.02,0.765,1.432,1.066,1.468,1.889,1.257,1.171,-1.922,0.298,0.814,1.93
,익산시,,1.09,-0.39,0.33,0.33,0.68,0.829,1.037,0.647,-0.023,-0.348,0.581,0.558,1.982,0.894,1.367,1.84,2.005,3.911,3.87,3.141,2.573,2.512
,이리시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,정주시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,정읍시,,1.29,-0.36,-0.23,-0.04,0.16,0.509,1.36,0.502,-0.011,0.009,0.411,0.299,1.166,1.007,1.482,2.313,2.012,3.497,3.034,2.828,2.631,2.572
,남원시,,2.19,0.25,0.33,-0.2,-0.11,0.036,-0.306,-0.112,-0.954,0.021,0.231,0.286,0.544,0.735,1.425,1.767,1.847,2.926,3.072,2.768,2.458,2.416
,김제시,,2.32,-0.23,-0.06,0.09,0.34,1.053,0.309,0.624,0.849,0.039,0.507,0.409,0.759,0.802,1.563,1.576,1.884,3.025,3.333,3.035,2.277,2.11
,완주군,,1.76,0.3,1.45,3.11,1.31,3.146,3.759,1.69,-0.148,0.055,0.519,1.382,2.309,1.12,1.816,2.515,3.073,4.856,4.075,3.446,3.16,3.225
,진안군,,2.39,-0.18,0.65,0.87,1.2,0.755,0.876,0.539,-0.176,0.011,0.174,0.24,0.646,0.75,1.609,1.396,1.594,3.211,3.199,2.958,2.398,2.46
,무주군,,1.14,-0.15,1.05,1.04,1.42,14.768,5.184,1.421,-0.056,0.005,0.154,0.571,0.639,0.686,1.107,1.692,1.545,3.44,3.187,2.822,2.47,2.497
,장수군,,2.99,0.28,0.52,0.82,0.96,1.596,1.338,0.926,-0.134,0.041,0.314,0.19,0.365,0.694,1.326,1.549,1.601,3.05,3.092,2.787,2.515,2.464
,임실군,,2.39,0.18,0.43,0.13,0.13,-0.012,0.634,0.37,-0.228,0.003,0.348,0.709,0.628,0.819,1.377,1.874,2.111,3.277,3.128,2.758,2.557,2.491
,남원군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,순창군,,1.63,-0.02,0.78,0.17,0.12,0.429,0.453,0.303,-0.005,0.03,0.244,0.366,0.588,0.622,1.557,1.888,2.077,3.481,3.215,2.958,2.481,2.347
,정읍군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,고창군,,1.91,-0.03,0.35,-0.19,0.13,0.154,0.188,0.6,-0.04,0.03,0.347,0.573,1.026,1.188,1.349,1.867,1.96,3.365,3.471,3.058,2.437,2.533
,부안군,,3.45,0.22,1.45,0.52,0.34,1.405,0.49,1.667,2.18,0.019,1.538,1.609,1.172,0.987,1.487,2.159,2.293,4.072,4.036,3.085,2.749,2.754
,김제군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,옥구군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,익산군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
전남,,,1.94,0.35,0.95,0.5,0.93,2.448,1.91,1.309,0.26,0.351,1.133,0.948,1.345,0.961,1.802,2.802,2.603,3.902,3.995,3.896,3.322,3.671
,시지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.726,1.117,2.114,3.027,2.74,4.145,4.093,4.051,3.566,3.986
,군지역,,-,-,-,-,-,-,-,-,-,-,-,-,0.963,0.794,1.459,2.535,2.436,3.609,3.875,3.707,3.034,3.311
