지 역,,,1975년,1976년,1977년,1978년,1979년,1980년,1981년,1982년,1983년,1984년,1985년,1986년,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,노원구,,-,-,-,-,-,-,-,-,-,-,-,-,-,35.56,46.82,42.53,14.84,-1.48,-5.24,-0.74,0.3,1.11,0.37,-16.17,2.86,-0.09,2.2,10.99,4.23,3.45,4.517,8.259,4.715,-0.218,1.266,0.485,0.716,0.32,0.357,1.427,2.468,2.885,4.35,4.638,4.361,4.092,4.234
,은평구,,-,-,-,-,-,14.31,1.16,9.2,62.7,24.5,7.5,2.9,5.59,26.23,31.12,20,9.24,-4.61,-8.24,-1.5,-0.16,0.54,0.33,-15.55,3.25,0.35,1.91,14.97,3.46,4.94,7.714,9.214,4.995,-0.336,0.575,0.528,0.815,-0.094,0.779,2.515,2.082,2.266,3.315,5.407,4.589,4.412,4.8
,서대문구,,-,-,-,-,-,11.98,6.83,7.1,51.4,25,7.2,2.5,5.61,20.32,29.86,24.72,10.86,-1.33,-6.54,-1.23,-0.55,0.88,0.45,-16.26,2.65,-0.3,1.95,13.71,3.82,4.4,7.415,9.042,5.559,-0.2,0.963,0.599,0.835,0.221,0.537,2.175,2.566,2.647,3.447,5.354,4.675,4.415,4.699
,마포구,,-,-,-,-,-,11.61,1.29,5.7,44,26.5,7.5,3.7,4.39,27.49,27.7,27.19,9.03,0.43,-7.67,-0.67,1.5,0.74,0.43,-15.07,2.43,-0.2,3.49,11.47,4.5,4.28,7.208,9.638,5.726,-0.233,1.036,0.642,0.867,0.239,0.962,2.838,3.312,3.677,5.322,8.112,5.402,4.792,5.318
,양천구,,-,-,-,-,-,-,-,-,-,-,-,-,-,31.64,35.49,23.46,15.07,-2.88,-8.53,-0.27,0.82,1.34,0.15,-15.78,1.98,-0.08,1.85,13.56,5.15,3.24,5.225,9.942,6.083,-1.293,1.183,0.614,0.902,0.176,0.845,2.31,2.42,2.499,3.793,5.078,5.059,4.436,4.664
,강서구,,-,-,-,-,-,12.3,4.15,5.4,69.5,25.8,5.3,3.9,6.23,33.81,38.91,25.55,13.16,2.31,-7.77,1.07,3,1.64,1.01,-14.38,2.64,-0.02,1.26,14.59,5.87,3.51,6.081,9.541,5.679,-0.272,1.214,0.721,0.969,0.258,1.14,2.224,2.863,3.244,5.476,5.948,5.028,4.438,4.962
,구로구,,-,-,-,-,-,13.12,1.51,4,56.5,20.5,5.6,4.9,6.34,25.29,30.21,30.71,14.19,-0.5,-5.51,-0.05,1.28,0.37,0.58,-16.32,1.38,-0.58,1.48,11.98,5.23,5.02,5.497,8.275,5.74,-0.828,1.11,0.464,0.887,0.231,0.651,1.86,2.362,2.439,3.723,5.291,4.501,4.046,4.046
,금천구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.56,0.55,0.41,-14.51,2.41,-0.25,0.91,5.26,4.05,4.09,6.067,7.129,4.298,-0.389,1.306,0.493,0.806,0.229,0.934,1.859,2.531,2.411,3.913,4.691,5.067,4.337,4.246
,영등포구,,-,-,-,-,-,13.35,0.75,4.5,62.8,23.1,11.3,4.2,6.75,26.81,29.7,29.33,15.04,-2.22,-7.27,-0.92,0.47,1.08,0.28,-16.16,2.11,0.3,1.42,11.32,4.62,4.47,6.213,9.422,5.415,-0.421,1.062,0.548,0.836,0.29,0.594,1.838,2.177,2.376,4.024,6.303,5.595,4.766,5.423
,동작구,,-,-,-,-,-,14.63,1.51,5.8,59.4,21.8,4.2,4,5.18,27.22,28.71,27.17,13.71,-4.79,-9.15,-1.52,-0.49,0.09,0.35,-16.45,2.4,-0.51,1.94,16.03,4.37,4.07,6.796,10.235,5.644,-0.634,1.148,0.925,0.848,0.311,0.657,1.853,2.369,2.854,4.481,8.121,5.536,4.931,4.758
,관악구,,-,-,-,-,-,14.39,1.1,4,62.4,21.7,6.5,4.6,5.56,32.51,28.61,39.33,11.63,-8.78,-8.31,-1.93,-0.44,0.24,0.16,-17.85,2.81,-0.16,2.08,13.51,4.13,3.94,6.859,8.593,4.94,-0.889,0.956,0.498,0.881,0.26,0.81,1.675,2.429,2.674,4.045,4.757,4.649,4.344,5.147
,서초구,,-,-,-,-,-,-,-,-,-,-,-,-,-,33.29,46.27,34.34,13.23,-4.08,-13.2,-3.32,-1.65,0.62,-0.15,-15.87,3.13,-0.02,2.33,19.88,6.85,4.86,6.612,8.909,5.181,-2.042,1.87,0.466,1.17,0.534,1.816,3.782,3.037,3.102,4.396,6.552,5.567,5.182,5.946
,강남구,,-,-,-,-,-,20.16,12.71,21.7,69.4,23.8,3.8,5.3,7.88,38.33,47.2,36.69,10.61,-4.44,-12.14,-3.72,-2.32,1.17,-0.37,-16.67,2.89,1.63,2.34,22.61,6.81,3.86,6.734,9.217,5.444,-1.984,1.882,0.184,1.135,0.739,2.619,4.216,3.804,3.821,4.94,6.423,6.052,5.518,6.11
,송파구,,-,-,-,-,-,-,-,-,-,-,-,-,-,38.94,40.74,35.02,14.39,-5.98,-11.89,-2.67,-0.19,0.86,-0.23,-16.73,2.64,0.11,1.54,21.99,6.98,3.54,7.615,9.216,5.674,-1.893,1.838,0.58,1.162,0.453,3.009,3.644,3.045,3.195,4.601,5.943,5.334,5.404,5.692
,강동구,,-,-,-,-,-,18.92,11.1,25.4,64.8,22.6,10.3,3.7,7.86,37.24,41.47,27.69,13.25,-3.94,-6.86,-1.39,0.33,0.92,0.27,-15.95,3.74,-0.62,1.47,13.8,6.38,3.22,5.652,8.994,5.078,-1.899,1.678,0.563,0.827,0.338,1.59,2.194,2.778,3.127,4.116,5.694,5.698,4.653,5.09
